id,geometry
30,"[(3915.0, 1995.0), (4083.0, 1995.0), (4083.0, 2096.0), (3915.0, 2096.0)]"
31,"[(3857.0, 2112.0), (4063.0, 2112.0), (4063.0, 2298.0), (3857.0, 2298.0)]"
32,"[(4035.0, 2210.0), (4234.0, 2210.0), (4234.0, 2412.0), (4035.0, 2412.0)]"
33,"[(4434.0, 2046.0), (4614.0, 2046.0), (4614.0, 2192.0), (4434.0, 2192.0)]"
34,"[(4765.0, 3384.0), (4977.0, 3384.0), (4977.0, 3533.0), (4765.0, 3533.0)]"
35,"[(4897.0, 3502.0), (5091.0, 3502.0), (5091.0, 3690.0), (4897.0, 3690.0)]"
36,"[(4831.0, 3156.0), (5096.0, 3156.0), (5096.0, 3424.0), (4831.0, 3424.0)]"
37,"[(4621.0, 2766.0), (4757.0, 2766.0), (4757.0, 2896.0), (4621.0, 2896.0)]"
38,"[(4706.0, 2653.0), (4951.0, 2653.0), (4951.0, 2906.0), (4706.0, 2906.0)]"
39,"[(4675.0, 2530.0), (4941.0, 2530.0), (4941.0, 2676.0), (4675.0, 2676.0)]"
40,"[(4057.0, 1910.0), (4149.0, 1910.0), (4149.0, 1986.0), (4057.0, 1986.0)]"
41,"[(4277.0, 1738.0), (4601.0, 1738.0), (4601.0, 1978.0), (4277.0, 1978.0)]"
42,"[(4945.0, 1998.0), (5096.0, 1998.0), (5096.0, 2262.0), (4945.0, 2262.0)]"
43,"[(3806.0, 2744.0), (4031.0, 2744.0), (4031.0, 2933.0), (3806.0, 2933.0)]"
44,"[(3789.0, 3202.0), (3981.0, 3202.0), (3981.0, 3341.0), (3789.0, 3341.0)]"
45,"[(3695.0, 3021.0), (3991.0, 3021.0), (3991.0, 3197.0), (3695.0, 3197.0)]"
46,"[(3731.0, 2922.0), (4021.0, 2922.0), (4021.0, 3078.0), (3731.0, 3078.0)]"
47,"[(4140.0, 3418.0), (4321.0, 3418.0), (4321.0, 3559.0), (4140.0, 3559.0)]"
48,"[(4089.0, 3287.0), (4263.0, 3287.0), (4263.0, 3479.0), (4089.0, 3479.0)]"
49,"[(3529.0, 2613.0), (3728.0, 2613.0), (3728.0, 2844.0), (3529.0, 2844.0)]"
50,"[(4500.0, 2419.0), (4698.0, 2419.0), (4698.0, 2576.0), (4500.0, 2576.0)]"
51,"[(4517.0, 2289.0), (4729.0, 2289.0), (4729.0, 2421.0), (4517.0, 2421.0)]"
52,"[(4455.0, 2216.0), (4638.0, 2216.0), (4638.0, 2367.0), (4455.0, 2367.0)]"
53,"[(3406.0, 2424.0), (3591.0, 2424.0), (3591.0, 2595.0), (3406.0, 2595.0)]"
54,"[(3101.0, 2462.0), (3392.0, 2462.0), (3392.0, 2750.0), (3101.0, 2750.0)]"
55,"[(3157.0, 1969.0), (3368.0, 1969.0), (3368.0, 2187.0), (3157.0, 2187.0)]"
56,"[(3468.0, 3510.0), (3623.0, 3510.0), (3623.0, 3644.0), (3468.0, 3644.0)]"
57,"[(3741.0, 3364.0), (3885.0, 3364.0), (3885.0, 3469.0), (3741.0, 3469.0)]"
